소속,직위,성명,본인과의 관계,재산 구분,재산의 종류,소재지 면적 등 권리의 명세,종전가액(천원),증가액(천원),감소액(천원),현재가액(천원),변동사유
국회,국회의원,강득구,장녀,예금,,"(주)KB손해보험 457(457 증가), (주)KEB하나은행 900(56 증가), 경남은행 0(3 감소), 국민은행 0(8 감소), 농협중앙회 2, 신한은행 562(11,401 감소), 우리은행 3, 주식회사 카카오뱅크 0(9 감소)","12,832",557,"11,465","1,924",
국회,국회의원,강득구,본인,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,,"농협은행 83,998(66,660 증가)","17,338","66,660",0,"83,998",후원금 증가
국회,국회의원,강득구,배우자,채권,,사인간채권 증가,0,"35,000",0,"35,000",가족간 대여
국회,국회의원,강득구,장녀,채무,,사인간채무 증가,0,"35,000",0,"35,000",가족간 차용
국회,국회의원,강득구,장녀,채무,금융채무,"경남은행 0(7,000 감소), 신한은행 100,000","107,000","100,000","107,000","100,000",일부 상환
국회,국회의원,강득구,모,고지거부 및 등록제외사항,,등록제외,0,0,0,0,사망
국회,국회의원,강득구,총 계,고지거부 및 등록제외사항,,,"1,364,369","613,460","386,430","1,591,399","증감액: 227,030천원 (가액변동: -9,000천원)"
국회,국회의원,강명구,본인,토지,임야,"경상북도 상주시 공성면 산현리 산 26번지 4,886.00㎡","20,000",0,0,"20,000",가액변동 없음
국회,국회의원,강명구,본인,건물,아파트(전세(임 차)권),경상북도 구미시 산동읍 인덕리 중흥에스-클래스에코시티 건물 99.23㎡,"100,000",0,0,"100,000",가액변동 없음
국회,국회의원,강명구,본인,건물,상가(전세(임차 )권),경상북도 구미시 옥계동 3층 건물 369.00㎡ (건물 369.00㎡ 증가),0,"30,000",0,"30,000",지역사무실 임차권(보증금) 발생으로 인하여 재산 내역 추가
국회,국회의원,강명구,본인,건물,오피스텔(전세( 임차)권),서울특별시 영등포구 당산동 리오팰리스 건물 48.05㎡ (건물 48.05㎡ 증가),0,"30,000",0,"30,000",의정활동용 숙소 임차권(보증금) 발생으로 인하여 재산 내역 추가
국회,국회의원,강명구,본인,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,자동차,"2018년식 카니발 배기량(2,199cc)","11,030",0,370,"10,660",차량 가액 감가상각
국회,국회의원,강명구,본인,예금,,"(주)KEB하나은행 13,792(601 증가), (주)카카오페이증권 167(3 증가), 국민은행 1,477(66 감소), 농협은행 353(605 감소), 농협중앙회 33, 메리츠종금증권 648(7 증가), 미래에셋증권 45,411(18,197 증가), 신용협동조합중앙회 1,335(52 증가), 우리은행 10(2,500 감소), 우체국 6,300, 주식회사 카카오뱅크 1,000(1,000 증가), 한화생명보험주식회사 19,200(2,400 증가), 현대해상화재보험 13,227(1,142 증가)","82,722","23,919","3,688","102,953",급여저축 및 생활비 지출로 인한 변동
국회,국회의원,강명구,배우자,예금,,"국민은행 9,086(410 증가), 농협은행 249(5,599 감소), 메리츠화재해상보험(보험) 3,162(318 증가), 메트라이프생명보험 3,198(282 증가), 미래에셋증권 20,564(20,564 증가), 삼성생명보험 10,469(212 증가), 신용협동조합중앙회 63, 한화생명보험주식회사 5,062(642 증가), 현대해상화재보험 7,845(779 증가)","42,090","23,397","5,789","59,698",
국회,국회의원,강명구,장녀,예금,,"농협중앙회 1,150(3,070 감소), 미래에셋증권 2,175(2,175 증가)","4,220","2,175","3,070","3,325",
국회,국회의원,강명구,차녀,예금,,"농협중앙회 837(4,074 감소), 미래에셋증권 2,070(2,070 증가)","4,911","2,070","4,074","2,907",
국회,국회의원,강명구,삼녀,예금,,"농협은행 1,601(4,822 감소), 미래에셋증권 2,069(2,069 증가)","6,423","2,069","4,822","3,670",
국회,국회의원,강명구,본인,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,,"농협은행 140,125(135,970 증가)","4,155","135,970",0,"140,125",국회의원강명구후원회로부터 후원금을 후원 받아 변동
국회,국회의원,강명구,본인,증권,상장주식,"엔비디아 7주(7주 증가), 조비에비에이션 343주(343주 증가), 캡티비전 3,022주","3,137","8,369","1,650","9,856",주식취득
국회,국회의원,강명구,배우자,증권,상장주식,"엔비디아 7주(7주 증가), 조비에비에이션 140주(140주 증가), 템퍼스AI 1주(1주 증가), 팔란티어테크 30주(30주 증가)",0,"12,259",0,"12,259",주식취득
국회,국회의원,강명구,본인,채무,금융채무,"우리은행 23,733(8,876 감소)","32,609",0,"8,876","23,733",채무 변제
국회,국회의원,강명구,배우자,채무,,사인간채무,"50,000",0,0,"50,000",변동 없음
국회,국회의원,강명구,부,고지거부 및 등록제외사항,,고지거부,0,0,0,0,독립생계유지
국회,국회의원,강명구,모,고지거부 및 등록제외사항,,고지거부,0,0,0,0,독립생계유지
국회,국회의원,강명구,총 계,고지거부 및 등록제외사항,,,"196,079","270,228","14,587","451,720","증감액: 255,641천원 (가액변동: -2,020천원)"
국회,국회의원,강민국,본인,토지,임야,경상남도 진주시 금산면 용아리 산 136-22번지 848.00㎡,"126,861",847,0,"127,708",
국회,국회의원,강민국,본인,건물,아파트,경상남도 진주시 상평동 진주센트럴자이 건물 84.53㎡,"211,000","6,000",0,"217,000",
